597 [0x7f9b384862d9] SYS_brk(0)                                                                                                                                                                        = 0x557dd2624000
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 96
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 90
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 89
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 134
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 17
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 56
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 82
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 126
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 17
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 56
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 82
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 126
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 17
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 55
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 87
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 80
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 125
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 17
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 67
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 99
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 93
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 92
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 133
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 17
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 56
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 82
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 126
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b384874d7] SYS_mprotect(0x7f9b38267000, 4096, 1)                                                                                                                                             = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5baf0, 7)                                                                                                                                                  = 87
597 [0x7f9b384874d7] SYS_mprotect(0x7f9b38469000, 4096, 1)                                                                                                                                             = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5baf0, 7)                                                                                                                                                  = 55
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 75
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 107
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 101
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 100
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 96
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 65
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 97
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 91
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 90
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 109
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 62
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 94
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 87
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 83
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 73
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 105
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 99
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 98
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 94
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 62
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 94
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 87
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 106
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 69
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 101
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 120
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 54
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 86
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 80
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 99
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 55
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 87
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 100
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 60
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 92
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 86
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 85
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 104
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 53
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 85
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 79
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 98
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 55
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 87
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 100
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b384874d7] SYS_mprotect(0x557dd16bb000, 4096, 1)                                                                                                                                             = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5baf0, 7)                                                                                                                                                  = 76
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 56
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 88
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 82
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 81
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 77
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 117
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 52
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 84
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 78
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 77
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 117
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 54
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 86
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 80
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 79
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9d0, 14)                                                                                                                                                 = 119
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b9e0, 3)                                                                                                                                                  = 15
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 54
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 86
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b8e0, 8)                                                                                                                                                  = 80
